seccionNRC,diaSemana,estadoSeccion,fechaInicio,horaFin,horaInicio,Id_AulaDR,modalidad,codCurso,dniDocente
1001,lun,1,2025-08-4,11:00:00.0000000,08:00:00.0000000,A102,Remoto,CUR002,11004650
1002,lun,1,2025-08-4,12:00:00.0000000,08:00:00.0000000,A103,Presencial,CUR003,11105460
1003,lun,1,2025-08-4,13:00:00.0000000,10:00:00.0000000,A104,Virtual,CUR004,11123458
1004,mar,1,2025-08-5,14:00:00.0000000,11:00:00.0000000,A105,Remoto,CUR005,12141568
1005,mar,1,2025-08-5,15:00:00.0000000,13:00:00.0000000,A106,Presencial,CUR006,12305495
1006,mar,1,2025-08-5,16:00:00.0000000,14:00:00.0000000,A107,Virtual,CUR007,12321652
1007,sáb,1,2025-08-9,17:00:00.0000000,14:00:00.0000000,A108,Remoto,CUR008,12345167
1008,sáb,1,2025-08-9,18:00:00.0000000,15:00:00.0000000,A109,Presencial,CUR009,12457681
1009,sáb,1,2025-08-9,19:00:00.0000000,17:00:00.0000000,A110,Virtual,CUR010,13046879
1010,lun,1,2025-08-4,20:00:00.0000000,18:00:00.0000000,A111,Remoto,CUR011,13485219
